M:\Spring_2022\H2_Project\Case_3_Final\H2_H2O_Case3_noPC_final_v13_volmodifier.sr3
Time (day);{15, 1, 26}-Gas Saturation;{15, 1, 1}-Gas Saturation
23.666666;5.29808E-07;5.16774E-07
23.708334;5.29685E-07;5.1665E-07
23.75;5.29562E-07;5.16526E-07
23.791666;5.2944E-07;5.16402E-07
23.833334;5.29317E-07;5.16279E-07
23.875;5.29195E-07;5.16156E-07
23.916666;5.29073E-07;5.16033E-07
23.958334;5.28951E-07;5.15911E-07
24;5.2883E-07;5.15788E-07
24.041666;5.28709E-07;5.15666E-07
24.083334;5.28589E-07;5.15545E-07
24.125;5.28469E-07;5.15424E-07
24.166666;5.28349E-07;5.15304E-07
24.208334;5.2823E-07;5.15184E-07
24.25;5.28112E-07;5.15065E-07
24.291666;5.27995E-07;5.14947E-07
24.333334;5.27878E-07;5.14829E-07
24.375;5.27761E-07;5.14711E-07
24.416666;5.27645E-07;5.14595E-07
24.458334;5.2753E-07;5.14479E-07
24.5;5.27416E-07;5.14364E-07
24.541666;5.27303E-07;5.1425E-07
24.583334;5.27191E-07;5.14138E-07
24.625;5.2708E-07;5.14026E-07
24.666666;5.26969E-07;5.13914E-07
24.708334;5.2686E-07;5.13804E-07
24.75;5.26751E-07;5.13694E-07
24.791666;5.26643E-07;5.13586E-07
24.833334;5.26536E-07;5.13478E-07
24.875;5.2643E-07;5.13371E-07
24.916666;5.26324E-07;5.13265E-07
24.958334;5.26219E-07;5.13159E-07
25;5.26115E-07;5.13055E-07
25.041666;5.26012E-07;5.12951E-07
25.083334;5.2591E-07;5.12848E-07
25.125;5.25808E-07;5.12745E-07
25.166666;5.25707E-07;5.12644E-07
25.208334;5.25607E-07;5.12543E-07
25.25;5.25507E-07;5.12443E-07
25.291666;5.25408E-07;5.12343E-07
25.333334;5.2531E-07;5.12244E-07
25.375;5.25213E-07;5.12146E-07
25.416666;5.25116E-07;5.12049E-07
25.458334;5.25019E-07;5.11952E-07
25.5;5.24924E-07;5.11855E-07
25.541666;5.24829E-07;5.1176E-07
25.583334;5.24734E-07;5.11665E-07
25.625;5.2464E-07;5.1157E-07
25.666666;5.24547E-07;5.11476E-07
25.708334;5.24454E-07;5.11383E-07
25.75;5.24362E-07;5.1129E-07
25.791666;5.2427E-07;5.11198E-07
25.833334;5.2418E-07;5.11106E-07
25.875;5.24089E-07;5.11015E-07
25.916666;5.24E-07;5.10925E-07
25.958334;5.23911E-07;5.10835E-07
26;5.23822E-07;5.10747E-07
26.041666;5.23735E-07;5.10659E-07
26.083334;5.23648E-07;5.10571E-07
26.125;5.23562E-07;5.10485E-07
26.166666;5.23477E-07;5.10399E-07
26.208334;5.23392E-07;5.10313E-07
26.25;5.23308E-07;5.10229E-07
26.291666;5.23225E-07;5.10145E-07
26.333334;5.23142E-07;5.10062E-07
26.375;5.2306E-07;5.09979E-07
26.416666;5.22978E-07;5.09896E-07
26.458334;5.22896E-07;5.09814E-07
26.5;5.22815E-07;5.09732E-07
26.541666;5.22735E-07;5.09651E-07
26.583334;5.22655E-07;5.09571E-07
26.625;5.22576E-07;5.09491E-07
26.666666;5.22498E-07;5.09412E-07
26.708334;5.2242E-07;5.09334E-07
26.75;5.22342E-07;5.09256E-07
26.791666;5.22266E-07;5.09179E-07
26.833334;5.2219E-07;5.09102E-07
26.875;5.22114E-07;5.09026E-07
26.916666;5.22038E-07;5.0895E-07
26.958334;5.21963E-07;5.08874E-07
27;5.21889E-07;5.08799E-07
27.041666;5.21815E-07;5.08725E-07
27.083334;5.21741E-07;5.08651E-07
27.125;5.21668E-07;5.08577E-07
27.166666;5.21596E-07;5.08504E-07
