TOPS        PRESSURE   Group Index   Group Description     
474.00000   40.07907   1             04.Jan 2022 - 00:00:00
474.50000   40.08036   1             04.Jan 2022 - 00:00:00
475.00000   40.08165   1             04.Jan 2022 - 00:00:00
475.50000   40.08295   1             04.Jan 2022 - 00:00:00
476.00000   40.08424   1             04.Jan 2022 - 00:00:00
476.50000   40.08554   1             04.Jan 2022 - 00:00:00
477.00000   40.08683   1             04.Jan 2022 - 00:00:00
477.50000   40.08813   1             04.Jan 2022 - 00:00:00
478.00000   40.08942   1             04.Jan 2022 - 00:00:00
478.50000   40.09072   1             04.Jan 2022 - 00:00:00
479.00000   40.09201   1             04.Jan 2022 - 00:00:00
479.50000   40.09331   1             04.Jan 2022 - 00:00:00
480.00000   40.09460   1             04.Jan 2022 - 00:00:00
480.50000   40.09590   1             04.Jan 2022 - 00:00:00
481.00000   40.09719   1             04.Jan 2022 - 00:00:00
481.50000   40.09849   1             04.Jan 2022 - 00:00:00
482.00000   40.09978   1             04.Jan 2022 - 00:00:00
482.50000   40.10108   1             04.Jan 2022 - 00:00:00
483.00000   40.10238   1             04.Jan 2022 - 00:00:00
483.50000   40.10367   1             04.Jan 2022 - 00:00:00
484.00000   40.10497   1             04.Jan 2022 - 00:00:00
484.50000   40.10626   1             04.Jan 2022 - 00:00:00
485.00000   40.10756   1             04.Jan 2022 - 00:00:00
485.50000   40.10885   1             04.Jan 2022 - 00:00:00
486.00000   40.11015   1             04.Jan 2022 - 00:00:00
486.50000   40.11144   1             04.Jan 2022 - 00:00:00
487.00000   40.11274   1             04.Jan 2022 - 00:00:00
487.50000   40.11404   1             04.Jan 2022 - 00:00:00
488.00000   40.11533   1             04.Jan 2022 - 00:00:00
488.50000   40.11663   1             04.Jan 2022 - 00:00:00
489.00000   40.11792   1             04.Jan 2022 - 00:00:00
489.50000   40.11922   1             04.Jan 2022 - 00:00:00
490.00000   40.12051   1             04.Jan 2022 - 00:00:00
490.50000   40.12181   1             04.Jan 2022 - 00:00:00
491.00000   40.12311   1             04.Jan 2022 - 00:00:00
491.50000   40.12440   1             04.Jan 2022 - 00:00:00
492.00000   40.12570   1             04.Jan 2022 - 00:00:00
492.50000   40.12700   1             04.Jan 2022 - 00:00:00
493.00000   40.12829   1             04.Jan 2022 - 00:00:00
493.50000   40.12959   1             04.Jan 2022 - 00:00:00
494.00000   40.13089   1             04.Jan 2022 - 00:00:00
494.50000   40.13218   1             04.Jan 2022 - 00:00:00
495.00000   40.13348   1             04.Jan 2022 - 00:00:00
495.50000   40.13477   1             04.Jan 2022 - 00:00:00
496.00000   40.13607   1             04.Jan 2022 - 00:00:00
496.50000   40.13737   1             04.Jan 2022 - 00:00:00
497.00000   40.13866   1             04.Jan 2022 - 00:00:00
497.50000   40.13996   1             04.Jan 2022 - 00:00:00
498.00000   40.14126   1             04.Jan 2022 - 00:00:00
498.50000   40.14256   1             04.Jan 2022 - 00:00:00
499.00000   40.14385   1             04.Jan 2022 - 00:00:00
499.50000   40.14515   1             04.Jan 2022 - 00:00:00
400.00000   39.99358   2             31.Jan 2022 - 00:00:00
400.50000   39.99375   2             31.Jan 2022 - 00:00:00
401.00000   39.99392   2             31.Jan 2022 - 00:00:00
401.50000   39.99409   2             31.Jan 2022 - 00:00:00
402.00000   39.99427   2             31.Jan 2022 - 00:00:00
402.50000   39.99444   2             31.Jan 2022 - 00:00:00
403.00000   39.99461   2             31.Jan 2022 - 00:00:00
403.50000   39.99479   2             31.Jan 2022 - 00:00:00
404.00000   39.99496   2             31.Jan 2022 - 00:00:00
404.50000   39.99514   2             31.Jan 2022 - 00:00:00
405.00000   39.99532   2             31.Jan 2022 - 00:00:00
405.50000   39.99549   2             31.Jan 2022 - 00:00:00
406.00000   39.99567   2             31.Jan 2022 - 00:00:00
406.50000   39.99585   2             31.Jan 2022 - 00:00:00
407.00000   39.99603   2             31.Jan 2022 - 00:00:00
407.50000   39.99621   2             31.Jan 2022 - 00:00:00
408.00000   39.99639   2             31.Jan 2022 - 00:00:00
408.50000   39.99657   2             31.Jan 2022 - 00:00:00
409.00000   39.99676   2             31.Jan 2022 - 00:00:00
409.50000   39.99694   2             31.Jan 2022 - 00:00:00
410.00000   39.99713   2             31.Jan 2022 - 00:00:00
410.50000   39.99731   2             31.Jan 2022 - 00:00:00
411.00000   39.99750   2             31.Jan 2022 - 00:00:00
411.50000   39.99769   2             31.Jan 2022 - 00:00:00
412.00000   39.99788   2             31.Jan 2022 - 00:00:00
412.50000   39.99807   2             31.Jan 2022 - 00:00:00
413.00000   39.99827   2             31.Jan 2022 - 00:00:00
413.50000   39.99846   2             31.Jan 2022 - 00:00:00
414.00000   39.99866   2             31.Jan 2022 - 00:00:00
414.50000   39.99886   2             31.Jan 2022 - 00:00:00
415.00000   39.99906   2             31.Jan 2022 - 00:00:00
415.50000   39.99926   2             31.Jan 2022 - 00:00:00
416.00000   39.99947   2             31.Jan 2022 - 00:00:00
