TOPS        GAS_DEN    Group Index   Group Description     
433.00000   6.58341    2             31.Jan 2022 - 00:00:00
433.50000   6.72246    2             31.Jan 2022 - 00:00:00
434.00000   6.86674    2             31.Jan 2022 - 00:00:00
434.50000   7.01641    2             31.Jan 2022 - 00:00:00
435.00000   7.17164    2             31.Jan 2022 - 00:00:00
435.50000   7.33260    2             31.Jan 2022 - 00:00:00
436.00000   7.49944    2             31.Jan 2022 - 00:00:00
436.50000   7.67232    2             31.Jan 2022 - 00:00:00
437.00000   7.85142    2             31.Jan 2022 - 00:00:00
437.50000   8.03689    2             31.Jan 2022 - 00:00:00
438.00000   8.22887    2             31.Jan 2022 - 00:00:00
