TOPS        RV        Group Index   Group Description     
425.00000   0.08587   2             31.Jan 2022 - 00:00:00
425.50000   0.08908   2             31.Jan 2022 - 00:00:00
426.00000   0.09243   2             31.Jan 2022 - 00:00:00
426.50000   0.09590   2             31.Jan 2022 - 00:00:00
427.00000   0.09952   2             31.Jan 2022 - 00:00:00
427.50000   0.10328   2             31.Jan 2022 - 00:00:00
428.00000   0.10719   2             31.Jan 2022 - 00:00:00
428.50000   0.11125   2             31.Jan 2022 - 00:00:00
429.00000   0.11547   2             31.Jan 2022 - 00:00:00
429.50000   0.11986   2             31.Jan 2022 - 00:00:00
430.00000   0.12442   2             31.Jan 2022 - 00:00:00
430.50000   0.12916   2             31.Jan 2022 - 00:00:00
431.00000   0.13407   2             31.Jan 2022 - 00:00:00
431.50000   0.13918   2             31.Jan 2022 - 00:00:00
432.00000   0.14449   2             31.Jan 2022 - 00:00:00
432.50000   0.15000   2             31.Jan 2022 - 00:00:00
433.00000   0.15571   2             31.Jan 2022 - 00:00:00
433.50000   0.16165   2             31.Jan 2022 - 00:00:00
434.00000   0.16781   2             31.Jan 2022 - 00:00:00
434.50000   0.17419   2             31.Jan 2022 - 00:00:00
435.00000   0.18082   2             31.Jan 2022 - 00:00:00
435.50000   0.18768   2             31.Jan 2022 - 00:00:00
436.00000   0.19480   2             31.Jan 2022 - 00:00:00
436.50000   0.20218   2             31.Jan 2022 - 00:00:00
437.00000   0.20982   2             31.Jan 2022 - 00:00:00
437.50000   0.21773   2             31.Jan 2022 - 00:00:00
438.00000   0.22593   2             31.Jan 2022 - 00:00:00
438.50000   0.23440   2             31.Jan 2022 - 00:00:00
